type,dataset,n,p,lam_fpc,lam_lasso,lam_scale,diff_lam_fpc,violation
survival,colon,929,11,0.145348904200116,0.00338594039640572,0.00397867541949075,-0.0143721113679711,FALSE
survival,colon,929,11,0.132271305266506,0.00308221537957122,0.00252604263780212,-0.01307759893361,FALSE
survival,colon,929,11,0.120373299422476,0.00280573504960393,0.00120371366079389,-0.0118980058440303,FALSE
survival,colon,929,11,0.109548037364411,0.00255405550849957,0,-0.0108252620580649,FALSE
survival,lung,228,16,4.03979709108004,0.225301727580532,1,,
survival,lung,228,16,3.69244549110479,0.205091752509831,0.90939210066558,-0.347351599975244,FALSE
survival,lung,228,16,3.37058500593497,0.186694648990292,0.826911894830992,-0.321860485169827,FALSE
survival,lung,228,16,3.07955849611886,0.169947799143886,0.751830313594821,-0.291026509816107,FALSE
survival,lung,228,16,2.80936326218875,0.154703172212249,0.683483686863202,-0.270195233930107,FALSE
survival,lung,228,16,2.55926980606205,0.140826016065498,0.621267876957739,-0.250093456126704,FALSE
survival,lung,228,16,2.32842702362334,0.128193666085081,0.56463293844947,-0.230842782438704,FALSE
survival,lung,228,16,2.11642198767648,0.116694460892013,0.513078257015457,-0.21200503594686,FALSE
survival,lung,228,16,1.92253777466514,0.106226755336255,0.466148124348771,-0.19388421301134,FALSE
survival,lung,228,16,1.747813206989,0.0966980220227487,0.423427710007122,-0.174724567676147,FALSE
survival,lung,228,16,1.58801174236786,0.0880240334321938,0.384539394593993,-0.159801464621136,FALSE
survival,lung,228,16,1.44324101257811,0.0801281174070877,0.349139431860094,-0.144770729789753,FALSE
survival,lung,228,16,1.31203136323942,0.072940479422019,0.316914910220406,-0.13120964933869,FALSE
survival,lung,228,16,1.19271726227741,0.066397585647549,0.287580986828663,-0.119314100962013,FALSE
survival,lung,228,16,1.08538273451021,0.0604416013543879,0.260878369760397,-0.107334527767194,FALSE
survival,lung,228,16,0.988058414119628,0.0550198796937371,0.236571026048742,-0.0973243203905838,FALSE
survival,lung,228,16,0.899475047032084,0.0500844963349657,0.214444095313602,-0.0885833670875439,FALSE
survival,lung,228,16,0.818395429521716,0.0455918258471352,0.194301990542072,-0.0810796175103684,FALSE
survival,lung,228,16,0.744185099935441,0.0415021560798717,0.175966669232327,-0.0742103295862747,FALSE
